SIGLA,RAMO,Créditos,CICLO,CRR,CÓDIGO BANNER,BLOQUE ACADÉMICO,TRACK/ÁREA,N° VERSIONES,RESOLUCIÓN ÚLTIMA,VERSIÓN,PERIODO DE VIGENCIA,SUB-ÁREA,TIPO CURSO,TIPO OPTATIVIDAD,Alumnos del programa 2012,Alumnos que aprobaron el curso 2012,Alumnos que falta por aprobar 2012,Alumnos del programa 2013,Alumnos que aprobaron el curso 2013,Alumnos que falta por aprobar 2013,Alumnos del programa 2014,Alumnos que aprobaron el curso 2014,Alumnos que falta por aprobar 2014,Alumnos del programa 2015,Alumnos que aprobaron el curso 2015,Alumnos que falta por aprobar 2015,Alumnos del programa 2016,Alumnos que aprobaron el curso 2016,Alumnos que falta por aprobar 2016,Alumnos del programa 2017,Alumnos que aprobaron el curso 2017,Alumnos que falta por aprobar 2017,Alumnos del programa 2018,Alumnos que aprobaron el curso 2018,Alumnos que falta por aprobar 2018,201520,201522,201620,201622,201720,201722,201820,201822,201520,201522,201620,201622,201720,201722,201820,201822,SEMESTRE
IIC2685,Robótica Móvil ,10,1,CRR2013,M738,Major en Sistemas Autónomos y Robóticos,No aplica,1,111/2012,Vs.01,201320,No aplica,Optativo,Elegir 10 entre lista 4,22,3,19,9,2,7,11,1,10,19,0,19,11,0,11,0,0,0,72,6,66,0,0,12,0,13,0,7,0,0,0,1,0,1,0,1,0,8
IIC1253,Matemáticas Discretas,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,0,1,3,0,3,1,0,1,3,1,2,2,0,2,0,0,0,10,1,9,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,8-Jul
IIC2133,Estructuras de Datos y Algoritmos,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,1,0,3,0,3,1,0,1,3,0,3,2,0,2,0,0,0,10,1,9,38,32,42,84,80,75,95,125,1,1,1,1,1,1,1,1,8-Jul
IIC2233,Programación Avanzada,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,1,0,3,2,1,1,0,1,3,0,3,2,0,2,0,0,0,10,3,7,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,8-Jul
IIC2413,Bases de Datos,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,1,0,3,1,2,1,0,1,3,0,3,2,0,2,0,0,0,10,2,8,57,58,72,66,93,78,110,116,1,1,1,1,1,1,1,1,8-Jul
IIC2115,Programación Como Herramienta para Ingeniería,10,1,CRR2013,M114,Major en Sistemas de Transporte - Área 3: Manejo de Bases de Datos,Área 3: Manejo de Bases de Datos,1,129/2016,Vs.01,201320,No aplica,Optativo,Elegir 20 de un área entre lista 1,1,0,1,3,0,3,1,1,0,3,0,3,2,0,2,0,0,0,10,1,9,70,54,25,27,52,50,76,97,1,1,1,1,1,1,1,1,8-Jul
IIC1253,Matemáticas Discretas,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,5/6/2007
IIC2213,Lógica para Ciencias de la Computación,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,"(optativo entre IIC2213 y MAT2415), Elegir 30 de un track entre lista 1",5,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,14,6,15,0,28,8,30,0,1,1,1,0,1,1,1,0,5/6/2007
IIC2233,Programación Avanzada,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,5/6/2007
IIC2223,Teoría de Autómatas y Lenguajes Formales,10,1,CRR2013,M764,Major en Ingeniería Matemática-Track 3: Teoría de la Computación,Track 3: Teoría de la Computación,2,135/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 de un track entre lista 1,5,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,15,0,20,0,24,0,46,0,1,0,1,0,1,0,1,6
